Product Type,Comment,Total Thickness (mm),Outer Lite (Name_Thickness mm),Outer Lite NFRC ID,Outer Lite Low-E,Middle Lite (Name_Thickness mm),Middle Lite NFRC ID,Middle Lite Low-E,Inner Lite (Name_Thickness mm),Inner Lite NFRC ID,Inner Lite Low-E,Gas Fill,U-value NFRC (W/m²K),U-value NFRC (BTU/hrftF),R-value NFRC,SHGC,Tvis (Visible Transmittance),Exterior Visible Reflectance,Transmitted Color L*,Transmitted Color a*,Transmitted Color b*,Exterior Reflected Color L*,Exterior Reflected Color a*,Exterior Reflected Color b*,T-UV,NFRC,CEN,g-factor,U-value CEN (W/m�K)
EnthermalPlus,C180 4mm / Argon 13.45mm / C180 4mm / Vacuum 0.25mm / Clear 4mm,25.4,4mm Clear,2192,LoE 180 S2,4mm Clear,2192,LoE 180 S4,Float Glass - 4mm,2002,,Ar90,0.3723,0.0656,15.25,0.5117,0.691,0.2078,86.49,-3.6,4.22,52.91,-2.37,-6.75,0.1245,Yes,No,,
EnthermalPlus,C180 4mm / Argon 13.45mm / C270 4mm / Vacuum 0.25mm / Clear 4mm,25.4,4mm Clear,2192,LoE 180 S2,4mm Clear,2027,LoE² 270 S4,Float Glass - 4mm,2002,,Ar90,0.2879,0.0507,19.73,0.3318,0.6059,0.1836,82.09,-4.78,4.59,50.09,-3.07,-5.31,0.0626,Yes,No,,
EnthermalPlus,C180 4mm / Argon 13.45mm / C272 4mm / Vacuum 0.25mm / Clear 4mm,25.4,4mm Clear,2192,LoE 180 S2,4 mm Clear,2012,LoE² 272 S4,Float Glass - 4mm,2002,,Ar90,0.3069,0.054,18.5,0.3696,0.6253,0.1726,83.1,-3.7,4.44,48.71,-1.79,-5.61,0.0758,Yes,No,,
EnthermalPlus,C180 4mm / Argon 13.45mm / C366 4mm / Vacuum 0.25mm / Clear 4mm,25.4,4mm Clear,2192,LoE 180 S2,4mm Clear,2155,LoE³ 366 S4,Float Glass - 4mm,2002,,Ar90,0.2441,0.043,23.26,0.2544,0.5633,0.1758,79.74,-6.87,4.94,49.1,-1.84,-6.12,0.0232,Yes,No,,
EnthermalPlus,C180 4mm / Argon 13.36mm / SB60 4mm / Vacuum 0.25mm / Clear 4mm,25.41,4mm Clear,2192,LoE 180 S2,Clear  4mm,5282,Solarban® 60 S4,Clear Float Glass,413,,Ar90,0.2871,0.0506,19.78,0.3569,0.6254,0.1739,83.12,-4.74,4.75,48.88,-2.02,-5.74,0.0877,Yes,No,,
EnthermalPlus,C180 4mm / Argon 13.36mm / SB70 4mm / Vacuum 0.25mm / Clear 4mm,25.41,4mm Clear,2192,LoE 180 S2,Solarban® 70 glass  4mm,5433,Solarban® 70 S4,Clear Float Glass,413,,Ar90,0.2381,0.0419,23.85,0.2503,0.573,0.1942,80.24,-6.64,6.32,51.32,-3.47,-6.29,0.0314,Yes,No,,
EnthermalPlus,C180 4mm / Argon 13.25mm / LUMI 4mm / Vacuum 0.25mm / Clear 4mm,25.4,4mm Clear,2192,LoE 180 S2,SGG ECLAZ II 4mm,20754,ECLAZ II S4,SGG PLANICLEAR 4mm,21011,,Ar90,0.3178,0.056,17.87,0.5133,0.727,0.1775,88.25,-3.23,4.13,49.41,-1.64,-6.32,0.1919,Yes,Yes,0.519498,0.330382
EnthermalPlus,C270 4mm / Argon 13.45mm / C180 4mm / Vacuum 0.25mm / Clear 4mm,25.4,4mm Clear,2027,LoE² 270 S2,4mm Clear,2192,LoE 180 S4,Float Glass - 4mm,2002,,Ar90,0.3654,0.0644,15.54,0.3058,0.6068,0.1641,82.14,-4.9,4.7,47.61,-4.0,-3.46,0.0629,Yes,No,,
EnthermalPlus,C270 4mm / Argon 13.45mm / C270 4mm / Vacuum 0.25mm / Clear 4mm,25.4,4mm Clear,2027,LoE² 270 S2,4mm Clear,2027,LoE² 270 S4,Float Glass - 4mm,2002,,Ar90,0.2835,0.0499,20.03,0.2488,0.5326,0.1453,77.95,-5.82,4.91,45.05,-4.67,-2.03,0.0343,Yes,No,,
EnthermalPlus,C270 4mm / Argon 13.45mm / C272 4mm / Vacuum 0.25mm / Clear 4mm,25.4,4mm Clear,2027,LoE² 270 S2,4 mm Clear,2012,LoE² 272 S4,Float Glass - 4mm,2002,,Ar90,0.302,0.0532,18.8,0.2661,0.5496,0.1368,78.92,-4.82,4.75,43.81,-3.46,-2.21,0.0421,Yes,No,,
