cluster_id,code,distinct_colors,config_count,extL,extA,extB,trnL,trnA,trnB,max_dE_in_cluster,mean_dE_in_cluster,max_trn_dE_in_cluster,mean_trn_dE_in_cluster,source,source_idx,stack_desc,stack_json
1,anchor_01,6,6,36.95,-2.46,-2.54,77.01,-8.39,3.68,0.2697,0.1746,0.5714,0.2403,enthermal.json,32,Q452 Clear 5mm / Vacuum 0.25mm / Clear 5mm,"[{""type"":""glass"",""coating"":""Q452"",""substrate"":""Clear"",""thickness"":5},{""type"":""vacuum"",""thickness"":0.25},{""type"":""glass"",""coating"":null,""substrate"":""Clear"",""thickness"":5}]"
2,anchor_02,16,32,38.63,-3.42,-2.42,70.25,-9.66,5.5,0.3762,0.2324,1.1115,0.5535,enthermal-plus-inboard.json,207,Q452 Clear 5mm / Ar90 12.55mm / SB60 Clear 4mm / Vacuum 0.25mm / Clear 4mm,"[{""type"":""glass"",""coating"":""Q452"",""substrate"":""Clear"",""thickness"":5},{""type"":""gas"",""gasType"":""Ar90"",""thickness"":12.55},{""type"":""glass"",""coating"":""SB60"",""substrate"":""Clear"",""thickness"":4},{""type"":""vacuum"",""thickness"":0.25},{""type"":""glass"",""coating"":null,""substrate"":""Clear"",""thickness"":4}]"
3,anchor_03,26,52,38.81,-3.53,-2.89,74.12,-9.46,5.09,1.0251,0.396,2.2173,0.5533,enthermal-plus-inboard.json,1876,Q452 Clear 6mm / Ar90 7.45mm / LUMI Clear 6mm / Vacuum 0.25mm / Clear 6mm,"[{""type"":""glass"",""coating"":""Q452"",""substrate"":""Clear"",""thickness"":6},{""type"":""gas"",""gasType"":""Ar90"",""thickness"":7.45},{""type"":""glass"",""coating"":""LUMI"",""substrate"":""Clear"",""thickness"":6},{""type"":""vacuum"",""thickness"":0.25},{""type"":""glass"",""coating"":null,""substrate"":""Clear"",""thickness"":6}]"
4,anchor_04,16,48,38.97,-3.67,-2.27,67.5,-10.92,5.37,0.8142,0.4463,1.0755,0.4518,enthermal-plus-inboard.json,38,Q452 Clear 4mm / Ar90 13.45mm / C366 Clear 4mm / Vacuum 0.25mm / Clear 4mm,"[{""type"":""glass"",""coating"":""Q452"",""substrate"":""Clear"",""thickness"":4},{""type"":""gas"",""gasType"":""Ar90"",""thickness"":13.45},{""type"":""glass"",""coating"":""C366"",""substrate"":""Clear"",""thickness"":4},{""type"":""vacuum"",""thickness"":0.25},{""type"":""glass"",""coating"":null,""substrate"":""Clear"",""thickness"":4}]"
5,anchor_05,32,80,39.03,-4.06,-1.39,70.07,-9.07,5.32,0.8984,0.424,1.7492,0.7718,enthermal-plus-inboard.json,583,Q452 Clear 6mm / Ar90 11.65mm / Clear 4mm / Vacuum 0.25mm / C272 Clear 4mm,"[{""type"":""glass"",""coating"":""Q452"",""substrate"":""Clear"",""thickness"":6},{""type"":""gas"",""gasType"":""Ar90"",""thickness"":11.65},{""type"":""glass"",""coating"":null,""substrate"":""Clear"",""thickness"":4},{""type"":""vacuum"",""thickness"":0.25},{""type"":""glass"",""coating"":""C272"",""substrate"":""Clear"",""thickness"":4}]"
6,anchor_06,12,12,39.43,-1.26,-2.48,87.66,-3.63,2.89,0.8317,0.5407,1.3616,0.7837,enthermal.json,36,SB60 Clear 4mm / Vacuum 0.25mm / Clear 4mm,"[{""type"":""glass"",""coating"":""SB60"",""substrate"":""Clear"",""thickness"":4},{""type"":""vacuum"",""thickness"":0.25},{""type"":""glass"",""coating"":null,""substrate"":""Clear"",""thickness"":4}]"
7,anchor_07,6,6,39.54,-0.71,-3.68,83.82,-6.26,3.38,0.3752,0.2371,0.6647,0.2804,enthermal.json,26,C366 Clear 5mm / Vacuum 0.25mm / Clear 5mm,"[{""type"":""glass"",""coating"":""C366"",""substrate"":""Clear"",""thickness"":5},{""type"":""vacuum"",""thickness"":0.25},{""type"":""glass"",""coating"":null,""substrate"":""Clear"",""thickness"":5}]"
8,anchor_08,4,4,39.7,-2.04,-6.23,82.49,-4.86,-0.46,0.3401,0.1313,0.309,0.1905,enthermal.json,77,XTR6129 Clear 6mm / Vacuum 0.25mm / Clear 4mm,"[{""type"":""glass"",""coating"":""XTR6129"",""substrate"":""Clear"",""thickness"":6},{""type"":""vacuum"",""thickness"":0.25},{""type"":""glass"",""coating"":null,""substrate"":""Clear"",""thickness"":4}]"
9,anchor_09,8,32,39.9,-6.0,-0.89,69.14,-9.88,5.45,0.2997,0.1597,0.7479,0.3003,enthermal-plus-inboard.json,1065,Q452 Clear 5mm / Ar90 11.05mm / Clear 5mm / Vacuum 0.25mm / C270 Clear 5mm,"[{""type"":""glass"",""coating"":""Q452"",""substrate"":""Clear"",""thickness"":5},{""type"":""gas"",""gasType"":""Ar90"",""thickness"":11.05},{""type"":""glass"",""coating"":null,""substrate"":""Clear"",""thickness"":5},{""type"":""vacuum"",""thickness"":0.25},{""type"":""glass"",""coating"":""C270"",""substrate"":""Clear"",""thickness"":5}]"
10,anchor_10,6,6,40.25,-0.79,-3.52,92.78,-2.24,2.2,0.2839,0.1443,0.3936,0.2027,enthermal.json,64,LUMI Clear 6mm / Vacuum 0.25mm / Clear 4mm,"[{""type"":""glass"",""coating"":""LUMI"",""substrate"":""Clear"",""thickness"":6},{""type"":""vacuum"",""thickness"":0.25},{""type"":""glass"",""coating"":null,""substrate"":""Clear"",""thickness"":4}]"
11,anchor_11,24,48,40.27,-5.03,-2.51,67.14,-11.59,6.8,0.7524,0.412,1.2614,0.5859,enthermal-plus-inboard.json,1702,Q452 Clear 6mm / Ar90 9.0mm / Clear 6mm / Vacuum 0.25mm / SB70 Clear 5mm,"[{""type"":""glass"",""coating"":""Q452"",""substrate"":""Clear"",""thickness"":6},{""type"":""gas"",""gasType"":""Ar90"",""thickness"":9.0},{""type"":""glass"",""coating"":null,""substrate"":""Clear"",""thickness"":6},{""type"":""vacuum"",""thickness"":0.25},{""type"":""glass"",""coating"":""SB70"",""substrate"":""Clear"",""thickness"":5}]"
12,anchor_12,18,52,40.45,-4.18,-3.02,72.2,-9.94,5.31,1.0051,0.5226,1.2391,0.7454,enthermal-plus-inboard.json,2062,Q452 Clear 6mm / Ar90 8.05mm / Clear 6mm / Vacuum 0.25mm / C180 Clear 6mm,"[{""type"":""glass"",""coating"":""Q452"",""substrate"":""Clear"",""thickness"":6},{""type"":""gas"",""gasType"":""Ar90"",""thickness"":8.05},{""type"":""glass"",""coating"":null,""substrate"":""Clear"",""thickness"":6},{""type"":""vacuum"",""thickness"":0.25},{""type"":""glass"",""coating"":""C180"",""substrate"":""Clear"",""thickness"":6}]"
13,anchor_13,6,6,41.24,-3.05,-2.06,86.25,-3.96,2.88,0.3155,0.2204,0.7688,0.3295,enthermal.json,8,C270 Clear 5mm / Vacuum 0.25mm / Clear 5mm,"[{""type"":""glass"",""coating"":""C270"",""substrate"":""Clear"",""thickness"":5},{""type"":""vacuum"",""thickness"":0.25},{""type"":""glass"",""coating"":null,""substrate"":""Clear"",""thickness"":5}]"
14,anchor_14,3,3,41.37,-1.28,-8.27,89.07,-3.32,2.34,0.1103,0.0724,0.176,0.1162,enthermal.json,74,SKN183 Clear 6mm / Vacuum 0.25mm / Clear 5mm,"[{""type"":""glass"",""coating"":""SKN183"",""substrate"":""Clear"",""thickness"":6},{""type"":""vacuum"",""thickness"":0.25},{""type"":""glass"",""coating"":null,""substrate"":""Clear"",""thickness"":5}]"
